"p","U:0","U:1","U:2","adjSource","adjnuTilda","checkRNS:0","checkRNS:1","checkRNS:2","dStar:0","dStar:1","dStar:2","nuTilda","nut","pNutpNuTilda","pNutpNuTildaFD","pRNSpNut:0","pRNSpNut:1","pRNSpNut:2","pRNSpNutFD:0","pRNSpNutFD:1","pRNSpNutFD:2","adjSensField","fdSensField","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00016024,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.2026e-05,1.2012e-05,1,0.54,0.54,0.75,1
0.00015636,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.0916e-05,1.0903e-05,1,0.55,0.55,0.75,1
0.00015249,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,9.8056e-06,9.7932e-06,1,0.56,0.56,0.75,1
0.00014861,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,8.6951e-06,8.6838e-06,1,0.57,0.57,0.75,1
0.00014473,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,7.5847e-06,7.5744e-06,1,0.58,0.58,0.75,1
0.00014085,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,6.4743e-06,6.4651e-06,1,0.59,0.59,0.75,1
0.00013697,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,5.3639e-06,5.3557e-06,1,0.6,0.6,0.75,1
0.0001331,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,4.2535e-06,4.2463e-06,1,0.61,0.61,0.75,1
0.00012922,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,3.1431e-06,3.1369e-06,1,0.62,0.62,0.75,1
0.00012534,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,2.0327e-06,2.0275e-06,1,0.63,0.63,0.75,1
0.00012146,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,9.2224e-07,9.1814e-07,1,0.64,0.64,0.75,1
0.00011759,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.8818e-07,-1.9124e-07,1,0.65,0.65,0.75,1
